"CODAUTO";"AUTONOMIA";"CODPROV";"NOMBRE";"2014_H_PUBLICO";"2014_CAMAS_PUB";"2014_H_PRIVADO_";"2014_CAMAS_PRIV";"2013_H_PUBLICO";"2013_CAMAS_PUB";"2013_H_PRIVADO";"2013_CAMAS_PRIV";"2012_H_PUBLICO";"2012_CAMAS_PUB";"2012_H_PRIVADO";"2012_CAMAS_PRIV";"2011_H_PUBLICO";"2011_CAMAS_PUB";"2011_H_PRIVADO";"2011_CAMAS_PRIV";"2010_H_PUBLICO";"2010_CAMAS_PUB";"2010_H_PRIVADO";"2010_CAMAS_PRIV";"2014";"2013";"2012";"2011";"2010";"2009";"2008";"2007";"2006";"2005";"2004";"2003";"2002";"2001";"2000";"1999";"1998";"1997"
6;"CANTABRIA";39;"CANTABRIA";4;1332;4;684;4;1332;4;667;4;1362;4;680;5;1457;4;676;5;1432;4;708;"159303.0";"161702.0";"163701.0";"164169.0";"164268.0";"164854.0";"163899.0";"159322.0";"156598.0";"155517.0";"152640.0";"150701.0";"149286.0";"147028.0";"146613.0";"146985.0";"146755.0";" 147770.0"
7;"CASTILLA Y LE‡N";40;"SEGOVIA";3;431;1;50;3;431;1;50;3;431;1;50;3;431;1;51;4;431;1;51;"1941355.0";"1942155.0";"1938974.0";"1928962.0";"1917097.0";"1900224.0";"1875462.0";"1849268.0";"1835077.0";"1813908.0";"1792420.0";"1782862.0";"1758720.0";"1747441.0";"1734917.0";"1725482.0";"1714845.0";" 1705320.0"
1;"ANDALUC÷A";41;"SEVILLA";15;3298;13;1373;15;3494;13;1377;15;3494;13;1377;15;3533;13;1407;15;3670;12;1443;"92221.0";"93291.0";"94522.0";"95223.0";"95258.0";"95101.0";"94646.0";"93593.0";"93503.0";"92773.0";"91652.0";"90954.0";"91487.0";"91314.0";"90911.0";"91252.0";"91593.0";" 92848.0"
7;"CASTILLA Y LE‡N";42;"SORIA";3;336;;;3;355;;;3;355;;;3;355;;;3;355;;;"140365.0";"142183.0";"143728.0";"144607.0";"145277.0";"146751.0";"146324.0";"144046.0";"142160.0";"141091.0";"139333.0";"138686.0";"137342.0";"136233.0";"136473.0";"136849.0";"136840.0";" 138211.0"
9;"CATALU•A";43;"TARRAGONA";12;1846;12;1976;12;1818;12;1976;12;1818;11;1964;12;1788;12;1970;12;1823;12;1970;"800962.0";"810178.0";"814199.0";"811401.0";"808420.0";"803301.0";"788895.0";"757795.0";"730466.0";"704907.0";"674144.0";"654149.0";"631156.0";"612086.0";"598533.0";"588499.0";"580245.0";" 574676.0"
2;"ARAG‡N";44;"TERUEL";4;536;;;4;536;;;4;556;;;4;556;;;4;556;;;"799402.0";"802422.0";"804498.0";"805857.0";"805108.0";"803998.0";"798822.0";"792182.0";"788287.0";"784376.0";"779870.0";"775944.0";"771131.0";"769625.0";"769237.0";"768676.0";"767175.0";" 761401.0"
8;"CASTILLA-LA MANCHA";45;"TOLEDO";7;1524;3;151;8;1538;3;155;8;1533;3;156;8;1531;3;156;8;1526;3;156;"699136.0";"706407.0";"711228.0";"707242.0";"697959.0";"689635.0";"670203.0";"639621.0";"615618.0";"598256.0";"578060.0";"563099.0";"546538.0";"536131.0";"527965.0";"523459.0";"519664.0";" 515880.0"
10;"COMUNIDAD VALENCIANA";46;"VALENCIA";17;5335;11;1357;17;5396;11;1377;17;5599;11;1409;18;5708;11;1409;17;5593;12;1426;"2548898.0";"2566474.0";"2580792.0";"2578719.0";"2581147.0";"2575362.0";"2543209.0";"2486483.0";"2463592.0";"2416628.0";"2358919.0";"2320297.0";"2267503.0";"2227170.0";"2201200.0";"2187633.0";"2172796.0";" 2172840.0"
7;"CASTILLA Y LE‡N";47;"VALLADOLID";3;1536;4;507;3;1536;4;507;3;1536;4;449;4;1576;4;389;4;1536;4;385;"529157.0";"532284.0";"534280.0";"534874.0";"533640.0";"532575.0";"529019.0";"521661.0";"519249.0";"514674.0";"510863.0";"506302.0";"501157.0";"497961.0";"495690.0";"494594.0";"492029.0";" 490205.0"
16;"PA÷S VASCO";48;"VIZCAYA";9;3068;12;770;9;3075;13;911;9;3081;12;745;9;3165;13;822;9;3190;12;719;"1151905.0";"1156447.0";"1158439.0";"1155772.0";"1153724.0";"1152658.0";"1146421.0";"1141457.0";"1139863.0";"1136181.0";"1132861.0";"1133428.0";"1133444.0";"1132616.0";"1132729.0";"1137418.0";"1137594.0";" 1140026.0"
7;"CASTILLA Y LE‡N";49;"ZAMORA";4;600;1;44;4;600;1;44;4;600;1;44;4;600;2;66;4;600;2;74;"185432.0";"188270.0";"191612.0";"193383.0";"194214.0";"195665.0";"197221.0";"197237.0";"197492.0";"198045.0";"198524.0";"199688.0";"200678.0";"202356.0";"203469.0";"204650.0";"205201.0";" 207475.0"
2;"ARAG‡N";50;"ZARAGOZA";10;3139;8;922;10;3138;8;961;10;3148;8;971;10;3141;8;996;10;3134;8;996;"960111.0";"978638.0";"978130.0";"973325.0";"973252.0";"970313.0";"955323.0";"932502.0";"917288.0";"912072.0";"897350.0";"880118.0";"871209.0";"857565.0";"848006.0";"844571.0";"841438.0";" 842419.0"
18;"CEUTA";51;"CEUTA";1;252;;;1;252;;;2;302;;;2;302;1;163;1;50;1;163;"84963.0";"84180.0";"84018.0";"82376.0";"80579.0";"78674.0";"77389.0";"76603.0";"75861.0";"75276.0";"74654.0";"74931.0";"76152.0";"75694.0";"75241.0";"73704.0";"72117.0";"  "
19;"MELILLA";52;"MELILLA";1;170;;;1;170;;;1;170;;;1;172;;;1;172;;;"84509.0";"83679.0";"80802.0";"78476.0";"76034.0";"73460.0";"71448.0";"69440.0";"66871.0";"65488.0";"68016.0";"68463.0";"69184.0";"68789.0";"66263.0";"56929.0";"60108.0";"  "
