CODAUTO,AUTONOMIA,CODPROV,NOMBRE,2014_H_PUBLICO,2014_CAMAS_PUB,2014_H_PRIVADO_,2014_CAMAS_PRIV,2013_H_PUBLICO,2013_CAMAS_PUB,2013_H_PRIVADO,2013_CAMAS_PRIV,2012_H_PUBLICO,2012_CAMAS_PUB,2012_H_PRIVADO,2012_CAMAS_PRIV,2011_H_PUBLICO,2011_CAMAS_PUB,2011_H_PRIVADO,2011_CAMAS_PRIV,2010_H_PUBLICO,2010_CAMAS_PUB,2010_H_PRIVADO,2010_CAMAS_PRIV
"1","ANDALUC÷A","11","CµDIZ","0.00483802689137","1.73927066745","0.00967605378273","0.975668756426","0.00565203489405","1.97578991225","0.00888176911922","0.9495418622","0.00562174942417","1.95717190667","0.00883417766656","0.946863224443","0.00562918620463","1.93644005439","0.00884586403585","0.980282569064","0.00566004629918","1.94705592692","0.00889435847014","1.09966613813"
"10","COMUNIDAD VALENCIANA","12","CASTELL‡N","0.00851052240991","2.45783887198","0.00340420896396","0.246805149887","0.0083098027419","2.39987103186","0.00332392109676","0.240984279515","0.00827042298251","2.38684407275","0.00330816919301","0.205106489966","0.00827343367354","2.35958328369","0.00330937346941","0.205181155104","0.00827439208041","2.34827247242","0.00330975683217","0.205204923594"
"8","CASTILLA-LA MANCHA","13","CIUDAD REAL","0.0134715644143","2.91178242269","0.00192450920204","0.105848006112","0.0133342984826","2.92402116725","0.00380979956644","0.0914351895947","0.013201320132","2.89486091466","0.003771805752","0.00942951438001","0.0132031876267","2.89527042958","0.00377233932192","0.179186117791","0.0132211924382","2.83311266534","0.00377748355378","0.179430468805"
"1","ANDALUC÷A","14","C‡RDOBA","0.00882819017687","1.49372977793","0.00264845705306","0.248954962988","0.0087861031963","1.56129053798","0.00263583095889","0.247768110136","0.00874193883965","1.55519091957","0.00262258165189","0.246522675278","0.00871745338778","1.55257844836","0.00348698135511","0.248447421552","0.0087225175279","1.55348037172","0.00348900701116","0.248591749545"
"12","GALICIA","15","A CORU•A","0.0723069284499","16.2883407488","0.0433841570699","4.10703353595","0.0707884416632","16.031222422","0.0471922944422","4.13876422258","0.0733823772221","16.3688565191","0.0458639857638","4.31580106038","0.0730133523168","16.5649043069","0.045633345198","4.26671777601","0.073490234985","16.8843814878","0.0505245365522","4.39104154036"
"8","CASTILLA-LA MANCHA","16","CUENCA","0.00132247843038","0.576600595644","0.00132247843038","0.0793487058226","0.00131297004328","0.572454938868","0.00131297004328","0.0787782025965","0.00131297866278","0.539634230404","0.00131297866278","0.078778719767","0.00132133560603","0.543068934079","0.00132133560603","0.0792801363618","0.00132794012584","0.545783391718","0.00132794012584","0.0796764075501"
"9","CATALU•A","17","GIRONA","0.009788407263","1.87284858965","0.016314012105","1.27031774258","0.00978985531682","1.88291550593","0.016316425528","1.2835588082","0.00975157325382","1.87555258915","0.0162526220897","1.27853960439","0.00865285814721","1.7251635931","0.016224109026","1.28170461305","0.00762467431748","1.5706829094","0.0174278270114","1.47265138246"
"1","ANDALUC÷A","18","GRANADA","0.0352352540462","7.36025306742","0.0117450846821","1.31544948439","0.0349212138614","8.02799905325","0.0116404046205","1.34252666623","0.0346771365932","7.97188840127","0.0115590455311","1.33314325125","0.0311938267417","7.91153430736","0.0116976850281","1.34523377824","0.0318011790287","8.06557403116","0.0119254421358","1.41912761416"
"8","CASTILLA-LA MANCHA","19","GUADALAJARA","0.00419493587341","1.04034409661","0.00279662391561","0.149619379485","0.00420275196198","1.04228248657","0.00280183464132","0.151299070631","0.00421290919636","1.0448014807","0.00280860613091","0.151664731069","0.00563692297286","1.23025843883","0.00281846148643","0.15783384324","0.00424170358127","1.02649226667","0.00282780238751","0.158356933701"
"16","PA÷S VASCO","20","GUIPÈZCOA","0.00962966244181","3.05260299405","0.021185257372","2.93126924729","0.00960304839168","3.11522889826","0.0211267064617","2.93661219818","0.00956275269574","3.06199341318","0.0210380559306","2.94915293137","0.00957913128774","3.08831192717","0.021074088833","2.99443644055","0.00965100051922","3.12692416823","0.0212322011423","3.02848396293"
"1","ANDALUC÷A","21","HUELVA","0.022231213513","4.4417964599","0.0133387281078","1.11156067565","0.0220917337151","4.48462194416","0.013255040229","1.03389313787","0.0219674968916","4.45940186899","0.013180498135","1.02807885453","0.0218951572291","4.33086209992","0.0131370943375","1.02469335832","0.0218755195436","4.32697776572","0.0131253117262","1.04564983418"
"2","ARAG‡N","22","HUESCA","0.00910424819394","1.08340553508","0.00151737469899","0.0606949879596","0.00902369622629","1.09637909149","0.00150394937105","0.0601579748419","0.00895199047508","1.08915884113","0.00149199841251","0.0596799365005","0.00894721145243","1.08410378765","0.00149120190874","0.0596480763495","0.0104359078718","1.10620623441","0.00149084398169","0.0596337592675"
"1","ANDALUC÷A","23","JAêN","0.0226947311087","2.83684138859","0.00206315737352","0.0928420818083","0.0224603472778","3.0321468825","0.00204184975253","0.0918832388638","0.0222468960524","3.00333096707","0.00202244509567","0.0910100293052","0.0200884292656","2.89072497132","0.00200884292656","0.0903979316953","0.0200286810713","2.88212720616","0.00200286810713","0.0901290648208"
"7","CASTILLA Y LE‡N","24","LE‡N","0.0114154990514","3.38812011845","0.0159816986719","1.69177695941","0.0113400542055","3.28634770874","0.0181440867287","1.8212127054","0.0112858664837","3.27064410697","0.0180573863739","1.81251015728","0.0113043399622","3.27599772105","0.0180869439395","1.59843367065","0.0113696312601","3.18577067909","0.0204653362682","1.76001891907"
"9","CATALU•A","25","LLEIDA","0.0156738829224","2.5642472461","0.0313477658447","2.6049993417","0.0155266483866","2.54015967605","0.0310532967733","2.58052896186","0.0154507445714","2.52774181188","0.033991638057","2.63898717279","0.0154820331006","2.31611215185","0.0340604728213","2.64433125358","0.0155079633392","2.31999131554","0.0341175193462","2.64876013833"
"17","LA RIOJA","26","LA RIOJA","0.0204231680418","2.65209425","0.00583519086909","0.367617024753","0.017340789873","2.41036979234","0.00578026329099","0.364156587333","0.0143306716499","2.30437200131","0.00573226865997","0.355400656918","0.0142235371092","2.29567888943","0.00568941484368","0.352743720308","0.0169729338282","2.74395763556","0.0056576446094","0.350773965783"
"12","GALICIA","27","LUGO","0.00077466054375","0.17600287554","0.0003098642175","0.0168875998537","0.000769757638728","0.174888935519","0.000307903055491","0.0167807165243","0.00107716170967","0.205584006303","0.000307760488477","0.016772946622","0.00123272642103","0.205865312311","0.000308181605256","0.0167958974865","0.00108381212024","0.188273648316","0.000309660605783","0.0168765030152"
"13","MADRID","28","MADRID","0.024044864017","9.02298935614","0.0289771438154","4.43596914366","0.0248034027849","8.94858375595","0.0290381300896","4.44283390371","0.0243739252622","8.95376144508","0.0292487103147","4.53537814317","0.0239877920591","8.64913671627","0.0307535795629","4.58289842646","0.0242302695711","9.01738801422","0.0316857371314","4.57020161448"
"1","ANDALUC÷A","29","MALAGA","0.00818097405404","1.71868629919","0.0163619481081","1.39144733702","0.00815190255216","1.96392918986","0.0163038051043","1.3824268078","0.00813863348275","1.96073244988","0.0155990475086","1.37475083913","0.00816288215043","1.86725929191","0.0183664848385","1.54482544697","0.00820805223604","1.82697562687","0.0184681175311","1.59099412509"
